fueltype,aspiration,wheelbase,length,width,height,curbweight,enginesize,bore,stroke,compressionratio,horsepower,peakrpm,highwaympg,highwaylkm100,fueldummy,aspirationdummy,aspixfuel
gas,std,225.044,428.752,162.814,123.952,1155.75,2.13,8.8138,6.8072,9,111,5000,27,8.71,-1,-1,1
gas,std,225.044,428.752,162.814,123.952,1155.75,2.13,8.8138,6.8072,9,111,5000,27,8.71,-1,-1,1
gas,std,240.03,434.848,166.37,133.096,1280.49,2.49,6.8072,8.8138,9,154,5000,26,9.05,-1,-1,1
gas,std,253.492,448.564,168.148,137.922,1060.04,1.79,8.1026,8.636,10,102,5500,30,7.84,-1,-1,1
gas,std,252.476,448.564,168.656,137.922,1280.94,2.23,8.1026,8.636,8,115,5500,22,10.69,-1,-1,1
gas,std,253.492,450.342,168.402,134.874,1137.16,2.23,8.1026,8.636,8.5,110,5500,25,9.41,-1,-1,1
gas,std,268.732,489.458,181.356,141.478,1290.02,2.23,8.1026,8.636,8.5,110,5500,25,9.41,-1,-1,1
gas,std,268.732,489.458,181.356,141.478,1339.91,2.23,8.1026,8.636,8.5,110,5500,25,9.41,-1,-1,1
gas,turbo,268.732,489.458,181.356,141.986,1399.78,2.15,7.9502,8.636,8.3,140,5500,20,11.76,-1,1,-1
gas,turbo,252.73,452.628,172.466,132.08,1384.82,2.15,7.9502,8.636,7,160,5500,22,10.69,-1,1,-1
gas,std,257.048,449.072,164.592,137.922,1086.35,1.77,8.89,7.112,8.8,101,5800,29,8.11,-1,-1,1
gas,std,257.048,449.072,164.592,137.922,1086.35,1.77,8.89,7.112,8.8,101,5800,29,8.11,-1,-1,1
gas,std,257.048,449.072,164.592,137.922,1229.23,2.69,8.4074,8.1026,9,121,4250,28,8.4,-1,-1,1
gas,std,257.048,449.072,164.592,137.922,1254.18,2.69,8.4074,8.1026,9,121,4250,28,8.4,-1,-1,1
gas,std,262.89,480.06,169.926,141.478,1385.72,2.69,8.4074,8.1026,9,121,4250,25,9.41,-1,-1,1
gas,std,262.89,480.06,169.926,141.478,1465.1,3.42,9.1948,8.6106,8,182,5400,22,10.69,-1,-1,1
gas,std,262.89,492.252,172.466,136.398,1533.14,3.42,9.1948,8.6106,8,182,5400,22,10.69,-1,-1,1
gas,std,279.4,500.38,180.086,143.002,1589.84,3.42,9.1948,8.6106,8,182,5400,20,11.76,-1,-1,1
gas,std,224.536,358.394,153.162,135.128,674.94,1,7.3914,7.6962,9.5,48,5100,53,4.44,-1,-1,1
gas,std,240.03,395.986,161.544,132.08,850.03,1.47,7.6962,7.8994,9.6,70,5400,43,5.47,-1,-1,1
gas,std,240.03,403.352,161.544,132.08,865.91,1.47,7.6962,7.8994,9.6,70,5400,43,5.47,-1,-1,1
gas,std,237.998,399.542,162.052,129.032,850.94,1.47,7.5438,8.2042,9.41,68,5500,41,5.74,-1,-1,1
gas,std,237.998,399.542,162.052,129.032,850.94,1.47,7.5438,8.2042,9.4,68,5500,38,6.19,-1,-1,1
gas,turbo,237.998,399.542,162.052,129.032,965.24,1.61,7.6962,8.6106,7.6,102,5500,30,7.84,-1,1,-1
gas,std,237.998,399.542,162.052,128.524,892.22,1.47,7.5438,8.2042,9.4,68,5500,38,6.19,-1,-1,1
gas,std,237.998,399.542,162.052,128.524,902.19,1.47,7.5438,8.2042,9.4,68,5500,38,6.19,-1,-1,1
gas,std,237.998,399.542,162.052,128.524,902.19,1.47,7.5438,8.2042,9.4,68,5500,38,6.19,-1,-1,1
gas,turbo,237.998,399.542,162.052,128.524,993.82,1.61,7.6962,8.6106,7.6,102,5500,30,7.84,-1,1,-1
gas,std,262.382,443.484,164.084,151.892,1149.86,2,8.4836,8.7884,8.5,88,5000,30,7.84,-1,-1,1
gas,turbo,243.586,439.928,168.402,127.508,1275.05,2.56,9.144,9.906,7,145,5000,24,9.8,-1,1,-1
gas,std,219.964,367.284,162.306,129.032,777,1.51,7.3914,8.6614,9.6,58,4800,54,4.36,-1,-1,1
gas,std,219.964,367.284,162.306,129.032,825.08,1.51,7.3914,8.6614,9.2,76,6000,38,6.19,-1,-1,1
gas,std,237.998,381,162.56,133.604,833.25,1.29,7.3914,7.7978,10.1,60,5500,42,5.6,-1,-1,1
gas,std,237.998,381,162.56,133.604,879.97,1.51,7.3914,8.6614,9.2,76,6000,34,6.92,-1,-1,1
gas,std,237.998,381,162.56,133.604,887.23,1.51,7.3914,8.6614,9.2,76,6000,34,6.92,-1,-1,1
gas,std,245.11,415.036,162.56,138.43,911.72,1.51,7.3914,8.6614,9.2,76,6000,34,6.92,-1,-1,1
gas,std,245.11,399.034,162.306,148.082,918.07,1.51,7.4168,8.6614,9.2,76,6000,34,6.92,-1,-1,1
gas,std,245.11,425.45,165.608,135.382,1014.23,1.8,8.001,9.0932,9,86,5800,33,7.13,-1,-1,1
gas,std,245.11,425.45,165.608,135.382,1038.27,1.8,8.001,9.0932,9,86,5800,33,7.13,-1,-1,1
gas,std,245.11,445.516,165.608,137.414,1045.08,1.8,8.001,9.0932,9,86,5800,33,7.13,-1,-1,1
gas,std,245.11,445.516,158.75,137.414,1075.92,1.8,8.001,9.0932,9,86,5800,33,7.13,-1,-1,1
gas,std,245.11,445.516,165.608,137.414,1118.1,1.8,8.001,9.0932,9,101,5800,28,8.4,-1,-1,1
gas,std,245.11,429.514,167.64,129.54,1040.09,1.8,8.001,9.0932,9.1,100,5500,31,7.59,-1,-1,1
gas,std,239.522,433.578,156.972,135.89,1060.04,1.82,8.4074,8.2042,8.5,78,4800,29,8.11,-1,-1,1
gas,std,240.03,395.986,161.544,132.08,850.03,1.47,7.6962,7.8994,9.6,70,5400,43,5.47,-1,-1,1
gas,std,240.03,395.986,161.544,132.08,865.91,1.47,7.6962,7.8994,9.6,70,5400,43,5.47,-1,-1,1
gas,std,243.84,438.404,165.608,130.556,1240.12,1.95,8.7122,8.2042,9.2,90,5000,29,8.11,-1,-1,1
gas,std,287.02,506.984,176.784,134.112,1844.31,4.23,9.2202,10.5918,8.1,176,4750,19,12.38,-1,-1,1
gas,std,287.02,506.984,176.784,134.112,1844.31,4.23,9.2202,10.5918,8.1,176,4750,19,12.38,-1,-1,1
gas,std,259.08,486.918,179.324,121.412,1791.69,5.34,8.9916,7.0104,11.5,262,5000,17,13.84,-1,-1,1
gas,std,236.474,404.114,163.068,137.414,857.29,1.49,7.6962,8.001,9,68,5000,31,7.59,-1,-1,1
