highwaylkm100,Thighwaylkm100,wheelbase,length,width,horsepower,wheelbase2,length2,width2,horsepower2,fueldummy,aspirationdummy,makealfa_rom,makeaudi,makebmw,makechevrole,makedodge,makehonda,makeisuzu,makejaguar,makemazda,makemercedes,makemercury,makemitsubis,makenissan,makepeugot,makeplymouth,makeporsche,makesaab,makesubaru,maketoyota,makevolkswag,make
8.71,3.9025418253,225.044,428.752,162.814,111,225.044,428.752,162.814,111,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alfa-rom
8.71,3.9025418253,225.044,428.752,162.814,111,225.044,428.752,162.814,111,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alfa-rom
9.05,4.0166435826,240.03,434.848,166.37,154,240.03,434.848,166.37,154,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alfa-rom
7.84,3.6,253.492,448.564,168.148,102,253.492,448.564,168.148,102,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
10.69,4.5391130897,252.476,448.564,168.656,115,252.476,448.564,168.656,115,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
9.41,4.1351446601,253.492,450.342,168.402,110,253.492,450.342,168.402,110,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
9.41,4.1351446601,268.732,489.458,181.356,110,268.732,489.458,181.356,110,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
9.41,4.1351446601,268.732,489.458,181.356,110,268.732,489.458,181.356,110,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
11.76,4.8585712798,268.732,489.458,181.356,140,268.732,489.458,181.356,140,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
10.69,4.5391130897,252.73,452.628,172.466,160,252.73,452.628,172.466,160,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
8.11,3.6956123464,257.048,449.072,164.592,101,257.048,449.072,164.592,101,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw
8.11,3.6956123464,257.048,449.072,164.592,101,257.048,449.072,164.592,101,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw
